,Message ID,timestamp,content,reactions,share,photos,videos,call_duration,audio_files
0,81,2025-01-01 15:01:33,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735743701}]",,,,,
1,126,2025-01-01 17:30:39,2,,,,,,
2,155,2025-01-01 23:51:39,3,,,,,,
3,195,2025-01-02 12:36:05,"It's his birthday, he deserves it","[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735821423}]",,,,,
4,212,2025-01-02 13:39:10,4,"[{'reaction': 'â\x9d¤', 'actor': 'Ruby Long', 'timestamp': 1735876002}]",,,,,
5,225,2025-01-02 14:15:35,My body just does that,,,,,,
6,300,2025-01-02 23:59:24,4,,,,,,
7,316,2025-01-03 11:45:47,Hahaha ngl I forgot what I was on,"[{'reaction': 'ð\x9f\x98\x82', 'actor': 'Ruby Long', 'timestamp': 1735904866}]",,,,,
8,444,2025-01-03 18:19:53,6,,,,,,
9,451,2025-01-03 19:30:06,Niamh sent an attachment.,,"{'link': 'https://www.instagram.com/reel/DEBqN88xHtH/?id=3531289259585862471_29637279146', 'share_text': 'Literally posting this from my porcelain throne\n\n#starwars #starwarsfan #starwarsday #starwarsmeme #obiwankenobi #starwarsart #starwarstoys #starwarscosplay #starwarsfans #starwarsrebels #starwarsdaily #ewanmcgregor #starwarsfigures #starwarsblackseries #starwarsbattlefront #starwars #fanart #starwarscelebration #starwarstattoo #starwarstheblackseries #mandalorian #starwarsmemes #lukeskywalker #anakinskywalker #anakinskywalker #darthvader #stormtrooper #kenobi #lightsaber #yoda #haydenchristensen #kenobiseries', 'original_content_owner': 'qui_gon_of_decompression'}",,,,
10,457,2025-01-03 22:44:19,7 âï¸,,,,,,
11,460,2025-01-03 23:04:59,What,,,,,,
12,463,2025-01-04 00:38:29,Bitch go to bed,"[{'reaction': 'â\x9d¤', 'actor': 'Katie Long', 'timestamp': 1735951125}]",,,,,
13,495,2025-01-04 19:00:45,8,,,,,,
14,497,2025-01-04 19:15:57,That for me or soumia?,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736083306}]",,,,,
15,500,2025-01-04 19:17:24,And?,,,,,,
16,501,2025-01-04 19:17:32,I'm not even in first place sooo,,,,,,
