,Message ID,timestamp,content,reactions,share,photos,videos,call_duration
0,50,2025-01-01 12:57:07,1 â¨,"[{'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin', 'timestamp': 1735736674}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735739023}, {'reaction': 'â\x9d¤', 'actor': 'Ruby Long', 'timestamp': 1735736240}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735738719}]",,,,
1,185,2025-01-02 12:15:03,We came here to lose ð¯ ð¥¶ð«¡â¼ï¸,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}]",,,,
2,191,2025-01-02 12:35:10,Imagine not pooping on your birthday,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'ð\x9f\x98¢', 'actor': 'Emma Smyth', 'timestamp': 1735827582}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735821324}]",,,,
3,200,2025-01-02 12:40:13,Happy birthday to poo,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735822163}]",,,,
4,206,2025-01-02 12:49:56,"Happy birthday to poo
Happy birthday to poo
Happy birthday to pooxter
Happy birthday to poo","[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735823342}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735827509}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735829068}, {'reaction': 'â\x9d¤', 'actor': 'Ruby Long', 'timestamp': 1735822233}, {'reaction': 'â\x9d¤', 'actor': 'Katie Long', 'timestamp': 1735822278}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735822205}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735827791}]",,,,
5,208,2025-01-02 12:52:26,For sheâs a squishy tirdello,"[{'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735827516}]",,,,
6,226,2025-01-02 14:20:40,Your body is a machine that turns food into poop,"[{'reaction': 'â\x9d¤', 'actor': ""Niamh O'Neill"", 'timestamp': 1735827814}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735827868}]",,,,
7,233,2025-01-02 14:24:10,You guys rub it in.. um I donât think youâre meant to do that ..,"[{'reaction': 'ð\x9f\x98¬', 'actor': 'Emma Smyth', 'timestamp': 1735828896}]",,,,
8,263,2025-01-02 15:39:44,I heard this one,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735840753}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1735835024}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735832857}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1735832405}]",,,,
9,267,2025-01-02 16:23:37,Deuce,,,,,
10,304,2025-01-03 02:18:02,noelle.long liked a message,,,,,
11,485,2025-01-04 16:48:53,3,,,,,
12,515,2025-01-05 08:10:20,4,,,,,
13,711,2025-01-07 16:08:25,Wait wait wait,,,,,
14,712,2025-01-07 16:08:44,Surely if you do the little pee at the end and whipe thatâs the poo wrapped up,,,,,
15,713,2025-01-07 16:08:52,So if you poo again thatâs a separate poo,,,,,
16,721,2025-01-07 16:10:51,What about flush,,,,,
17,722,2025-01-07 16:10:55,What if you flush,,,,,
18,723,2025-01-07 16:11:00,And then shit again,,,,,
19,727,2025-01-07 16:16:52,ð,,,,,
20,731,2025-01-07 16:34:32,5,,,,,
21,732,2025-01-07 16:55:27,Teenage sent an attachment.,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}]","{'link': 'https://www.instagram.com/reel/DEC9CZ7Mw9k/?id=3531653503924768612_4138551890', 'share_text': 'Which toilet are you discharging yourself in ? ð\x9f¥µ\n\n#fyp #foryou #vibes #relax #aesthetic #chill #toilet #toiletdesign #whichonewouldyoupick #viral', 'original_content_owner': 'mindbendingvids'}",,,
22,753,2025-01-08 06:30:19,6,,,,,
23,767,2025-01-08 10:03:09,Smelling this one as we speak,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736333488}, {'reaction': 'ð\x9f¤®', 'actor': 'Dex', 'timestamp': 1736330603}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736332558}]",,,,
24,768,2025-01-08 10:03:19,"Unwillingly, I feel the need to add",,,,,
25,786,2025-01-08 13:51:26,Bubbly in toilet or bubbly out your ass,,,,,
26,788,2025-01-08 13:58:37,ð«§,"[{'reaction': 'ð\x9f¤±', 'actor': 'Stephen Allen', 'timestamp': 1736346127}]",,,,
27,843,2025-01-09 08:58:02,7,,,,,
28,1061,2025-01-11 06:02:04,8,,,,,
29,1116,2025-01-12 05:04:48,9,,,,,
30,1118,2025-01-12 05:09:31,Hangover poo,,,,,
