,Poop,IDs,user,timestamp,content,reactions
0,1,54,Clay,2025-01-01 13:39:49,1,"[{'reaction': 'ð\x9f\x98®', 'actor': 'Dan Griffin', 'timestamp': 1735738883}]"
1,2,102,Clay,2025-01-01 16:26:39,2,
2,3,160,Clay,2025-01-02 09:33:07,3,
3,4,161,Clay,2025-01-02 10:26:04,4,
4,5,211,Clay,2025-01-02 13:37:44,5,
5,6,292,Clay,2025-01-02 19:46:00,6,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735847179}]"
6,7,518,Clay,2025-01-05 11:02:18,7,
7,8,653,Clay,2025-01-06 15:53:42,8,
8,9,665,Clay,2025-01-07 10:31:13,9,
9,10,685,Clay,2025-01-07 11:46:02,Top 10 anime betrayals,"[{'reaction': 'ð\x9f\x98¢', 'actor': 'shane', 'timestamp': 1736250640}]"
10,11,824,Clay,2025-01-08 21:32:57,11,
11,12,844,Clay,2025-01-09 09:00:40,12,
12,13,895,Clay,2025-01-09 20:43:44,13,
13,14,1069,Clay,2025-01-11 10:20:42,14,
14,15,1123,Clay,2025-01-12 10:07:42,15,
