,Poop,IDs,user,timestamp,content,reactions,audio_files
0,2,354,Dan,2025-01-03 14:06:17,2,,
1,3,477,Dan,2025-01-04 13:02:56,3,,
2,4,538,Dan,2025-01-05 18:50:50,4,,
3,5,572,Dan,2025-01-06 11:43:13,5,,
4,6,581,Dan,2025-01-06 12:18:47,dan_griffin6 liked a message,,
5,7,698,Dan,2025-01-07 14:30:40,7,,
6,8,789,Dan,2025-01-08 14:14:35,8,,
7,9,828,Dan,2025-01-08 22:43:57,9,,
8,10,845,Dan,2025-01-09 10:10:52,10,,
9,11,858,Dan,2025-01-09 14:10:15,11,,
10,12,973,Dan,2025-01-10 17:24:55,12,,
11,13,1221,Dan,2025-01-13 12:05:09,13,,
12,14,1287,Dan,2025-01-14 13:54:43,14 satisfying,,
13,15,1291,Dan,2025-01-14 15:51:54,15,,
14,16,1335,Dan,2025-01-15 19:22:58,16,,
15,17,1349,Dan,2025-01-16 09:55:55,17,,
16,18,1358,Dan,2025-01-16 12:52:33,18,,
17,19,1428,Dan,2025-01-17 12:11:24,19,,
18,20,1537,Dan,2025-01-19 13:18:11,20,,
19,21,1565,Dan,2025-01-20 09:11:23,21,,
20,22,1665,Dan,2025-01-21 10:19:15,22,,
21,23,1684,Dan,2025-01-21 12:43:43,23,,
22,24,1731,Dan,2025-01-22 10:40:46,24,,
23,25,1772,Dan,2025-01-23 10:36:19,25,,
24,26,1854,Dan,2025-01-24 11:35:04,26,,
25,27,1930,Dan,2025-01-25 18:30:08,27,,
26,28,1955,Dan,2025-01-26 10:37:55,28,,
27,29,1982,Dan,2025-01-26 17:17:10,29,,
28,30,2020,Dan,2025-01-27 11:06:41,30,,
29,31,2048,Dan,2025-01-28 09:05:14,31,,
30,32,2063,Dan,2025-01-28 11:43:54,32,,
31,33,2069,Dan,2025-01-28 14:27:08,33,,
32,34,2168,Dan,2025-01-30 09:19:37,34,,
33,35,2175,Dan,2025-01-30 11:45:19,35,,
34,36,2207,Dan,2025-01-31 11:00:36,36,,
35,37,2211,Dan,2025-01-31 13:56:53,37,,
36,38,2358,Dan,2025-02-01 13:12:57,38 hungover,"[{'reaction': 'ð\x9f\x98¢', 'actor': 'Emma Smyth'}]",
37,39,2409,Dan,2025-02-02 16:52:49,39,,
38,40,2455,Dan,2025-02-03 16:16:08,40,,
39,41,2477,Dan,2025-02-04 09:10:11,41,,
40,42,2483,Dan,2025-02-04 10:03:52,42,,
41,43,2523,Dan,2025-02-05 11:17:23,43,,
42,44,2526,Dan,2025-02-05 12:44:44,44 a big guy,,
43,45,2588,Dan,2025-02-06 12:47:20,45,,
44,46,2633,Dan,2025-02-07 12:04:13,46,,
45,47,2700,Dan,2025-02-08 13:13:57,47,,
46,48,2769,Dan,2025-02-10 00:12:35,48,,
47,49,2783,Dan,2025-02-10 09:19:41,49,,
48,50,2786,Dan,2025-02-10 11:28:08,50 ð´,,
49,51,2856,Dan,2025-02-11 09:39:07,51,,
50,52,2858,Dan,2025-02-11 12:40:32,52,,
51,53,2916,Dan,2025-02-12 10:42:04,53,,
52,54,2917,Dan,2025-02-12 12:28:49,54,,
53,55,2938,Dan,2025-02-13 11:18:36,55,,
54,56,2954,Dan,2025-02-13 13:52:30,56,,
55,57,2972,Dan,2025-02-14 10:30:16,57,,
56,58,2982,Dan,2025-02-14 12:32:27,58,,
57,59,3066,Dan,2025-02-16 13:14:49,59,,
58,60,3099,Dan,2025-02-17 11:35:13,60,,
59,61,3130,Dan,2025-02-18 11:22:17,61,,
60,62,3236,Dan,2025-02-20 11:22:28,62,,
61,63,3249,Dan,2025-02-20 12:35:14,63,,
62,64,3262,Dan,2025-02-20 13:51:58,64 lawdy,,
63,65,3284,Dan,2025-02-21 00:03:49,65,,
64,66,3295,Dan,2025-02-21 14:27:46,66,,
65,67,3335,Dan,2025-02-22 15:57:09,67,,
66,68,3385,Dan,2025-02-24 09:19:31,68,,
67,69,3391,Dan,2025-02-24 12:00:54,69,"[{'reaction': 'ð\x9f«¦', 'actor': 'Emma Smyth'}, {'reaction': 'ð\x9f¥µ', 'actor': 'Dex'}]",
68,70,3403,Dan,2025-02-25 09:38:56,70,,
69,71,3413,Dan,2025-02-25 11:44:22,71,,
70,72,3426,Dan,2025-02-25 15:22:34,72,,
71,73,3455,Dan,2025-02-26 10:11:14,73 clogged the toilet in work ð,"[{'reaction': 'ð\x9f\x98\x82', 'actor': 'Georgia-Rae'}, {'reaction': 'ð\x9f\x98®', 'actor': 'Emma Smyth'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]",
72,74,3477,Dan,2025-02-26 14:16:28,Wait no 74,,
73,75,3542,Dan,2025-02-27 12:39:43,75,,
74,76,3568,Dan,2025-02-28 12:00:35,76 and 77,,
75,77,3568,Dan,2025-02-28 12:00:35,76 and 77,,
76,78,3580,Dan,2025-02-28 15:29:31,78,,
