,Poop,IDs,user,timestamp,content,reactions,audio_files
0,1,93,Dex,2025-01-01 15:25:21,1 - feels weird starting over,,
1,2,188,Dex,2025-01-02 12:25:29,2,"[{'reaction': 'â\x9d¤', 'actor': 'Stephen Allen', 'timestamp': 1735821417}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735820850}]",
2,3,223,Dex,2025-01-02 14:01:24,3,,
3,4,312,Dex,2025-01-03 10:00:44,4,"[{'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735898514}]",
4,5,480,Dex,2025-01-04 14:42:52,Birthed 5,"[{'reaction': 'ð\x9f\x98®', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736002266}]",
5,6,509,Dex,2025-01-04 20:45:28,6,,
6,7,527,Dex,2025-01-05 13:42:24,7,,
7,8,556,Dex,2025-01-05 23:42:05,8,,
8,9,661,Dex,2025-01-06 22:32:43,9,,
9,10,745,Dex,2025-01-07 22:49:47,10 tummy ache gone,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736292682}]",
10,11,779,Dex,2025-01-08 11:59:51,11,,
11,12,823,Dex,2025-01-08 21:21:33,12,,
12,13,887,Dex,2025-01-09 18:16:12,13,,
13,14,1082,Dex,2025-01-11 12:10:39,14,,
14,15,1126,Dex,2025-01-12 11:46:30,15 pre run poop,,
15,16,1204,Dex,2025-01-13 09:03:33,16 Barbie bathroom,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1736759063}, {'reaction': 'â\x9d¤', 'actor': 'Ruby Long', 'timestamp': 1736760231}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736760677}]",
16,17,1224,Dex,2025-01-13 12:41:14,17 less satisfying,,
17,18,1299,Dex,2025-01-14 18:06:36,18,,
18,19,1354,Dex,2025-01-16 11:07:34,19,,
19,20,1362,Dex,2025-01-16 12:59:51,20,,
20,21,1407,Dex,2025-01-17 09:08:59,21,,
21,22,1474,Dex,2025-01-18 09:15:30,22,,
22,23,1521,Dex,2025-01-19 02:15:44,23,,
23,24,1710,Dex,2025-01-22 09:14:37,24 I havenât pooped since Sunday,"[{'reaction': 'ð\x9f\x98®', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1737537297}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1737537371}]",
24,25,1783,Dex,2025-01-23 12:41:00,25,,
25,26,1801,Dex,2025-01-23 19:23:29,26 Barbie toilet,,
26,27,1852,Dex,2025-01-24 11:14:21,27 not my favourite poo Iâve taken,"[{'reaction': 'ð\x9f\x98¢', 'actor': 'shane', 'timestamp': 1737717282}]",
27,28,1880,Dex,2025-01-25 10:20:55,28,,
28,29,1921,Dex,2025-01-25 14:29:09,29,,
29,30,1974,Dex,2025-01-26 15:52:37,The big 30,,
30,31,1987,Dex,2025-01-26 18:41:53,31,,
31,32,2006,Dex,2025-01-27 09:05:18,32,,
32,33,2062,Dex,2025-01-28 11:35:05,33,,
