,Poop,IDs,user,timestamp,content,reactions,audio_files
0,2,266,Emma Sherlock,2025-01-02 16:20:44,2 ð,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735836089}, {'reaction': 'ð\x9f\x91\x8f', 'actor': 'Dex', 'timestamp': 1735834859}]",
1,3,314,Emma Sherlock,2025-01-03 10:06:19,3,,
2,4,510,Emma Sherlock,2025-01-04 20:51:49,4,,
3,5,660,Emma Sherlock,2025-01-06 20:48:08,5,,
4,15,1295,Emma Sherlock,2025-01-14 16:50:49,"15 
Iâm still here I promise","[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1736874955}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736891478}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736873594}]",
5,16,1338,Emma Sherlock,2025-01-15 19:37:15,16,,
6,17,1406,Emma Sherlock,2025-01-17 08:18:49,17 ð,,
7,18,1455,Emma Sherlock,2025-01-17 16:20:50,18,,
8,19,1529,Emma Sherlock,2025-01-19 10:29:42,19,,
9,20,1622,Emma Sherlock,2025-01-20 16:47:21,20,,
10,21,1685,Emma Sherlock,2025-01-21 13:40:11,21,,
11,22,1740,Emma Sherlock,2025-01-22 14:13:10,22,,
12,23,1779,Emma Sherlock,2025-01-23 11:09:08,23,,
13,24,1871,Emma Sherlock,2025-01-24 20:34:32,24,,
14,25,1960,Emma Sherlock,2025-01-26 11:11:23,25,,
15,26,2025,Emma Sherlock,2025-01-27 15:40:17,26,,
16,27,2118,Emma Sherlock,2025-01-29 15:30:46,27,,
17,28,2178,Emma Sherlock,2025-01-30 11:53:43,28,,
18,29,2407,Emma Sherlock,2025-02-02 16:39:44,29,,
19,30,2465,Emma Sherlock,2025-02-03 19:56:09,30,,
20,31,2487,Emma Sherlock,2025-02-04 10:49:48,31,,
21,32,2605,Emma Sherlock,2025-02-06 17:52:16,32,,
22,33,2668,Emma Sherlock,2025-02-07 23:43:04,33,,
23,34,2753,Emma Sherlock,2025-02-09 15:51:03,34,,
24,35,2833,Emma Sherlock,2025-02-10 13:03:26,35,,
25,36,2899,Emma Sherlock,2025-02-11 22:26:48,"36, night shift :(",,
26,37,2929,Emma Sherlock,2025-02-12 18:54:13,37,,
27,38,3020,Emma Sherlock,2025-02-14 20:45:12,38,,
28,39,3060,Emma Sherlock,2025-02-15 21:51:44,39,,
29,40,3082,Emma Sherlock,2025-02-16 19:05:18,40 ð,,
30,41,3108,Emma Sherlock,2025-02-17 15:40:55,41,,
31,42,3200,Emma Sherlock,2025-02-19 18:01:01,42,,
32,43,3248,Emma Sherlock,2025-02-20 12:27:39,43,,
33,44,3302,Emma Sherlock,2025-02-21 16:37:27,44,,
34,45,3333,Emma Sherlock,2025-02-22 15:12:26,45,,
35,46,3366,Emma Sherlock,2025-02-23 18:49:09,46 earlier,,
36,47,3430,Emma Sherlock,2025-02-25 16:18:46,47,,
37,48,3529,Emma Sherlock,2025-02-27 10:18:14,48,,
38,49,3578,Emma Sherlock,2025-02-28 13:44:14,49,,
