,Poop,IDs,user,timestamp,content,reactions
0,1,4,Harry,2025-01-01 12:20:42,Iâm on 1,
1,2,210,Harry,2025-01-02 13:05:17,2,
2,3,278,Harry,2025-01-02 18:31:24,3,
3,4,311,Harry,2025-01-03 09:55:10,4,
4,5,350,Harry,2025-01-03 13:09:23,5,
5,6,475,Harry,2025-01-04 11:44:37,6,
6,7,521,Harry,2025-01-05 12:59:54,7,
7,8,532,Harry,2025-01-05 15:26:24,8,
8,9,638,Harry,2025-01-06 13:30:46,9,
9,10,692,Harry,2025-01-07 12:54:04,10,
10,11,790,Harry,2025-01-08 14:29:24,11,
11,12,853,Harry,2025-01-09 13:45:00,12 earlier,
12,13,854,Harry,2025-01-09 13:45:04,13,
13,14,921,Harry,2025-01-10 11:11:25,14,
14,15,1070,Harry,2025-01-11 10:21:57,Oh boy I can feel number 15 coming,
15,16,1088,Harry,2025-01-11 15:14:22,16,
16,17,1121,Harry,2025-01-12 09:11:48,17,
