,Poop,IDs,user,timestamp,content,reactions,audio_files
0,1,49,Katie,2025-01-01 12:45:24,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735735567}]",
1,2,260,Katie,2025-01-02 15:34:46,2,,
2,3,474,Katie,2025-01-04 01:56:06,3,,
3,4,559,Katie,2025-01-06 04:14:28,4,,
4,5,654,Katie,2025-01-06 16:02:58,5,,
5,6,664,Katie,2025-01-07 09:44:15,6,,
6,7,760,Katie,2025-01-08 07:53:20,7,,
7,8,763,Katie,2025-01-08 08:38:19,8,,
8,9,851,Katie,2025-01-09 13:41:22,9,,
9,10,917,Katie,2025-01-10 08:14:59,10,,
10,11,1062,Katie,2025-01-11 07:27:15,11,,
11,12,1120,Katie,2025-01-12 09:06:47,12,,
12,13,1270,Katie,2025-01-14 09:51:11,13,,
13,14,1342,Katie,2025-01-16 07:52:54,14,,
14,15,1400,Katie,2025-01-17 02:58:34,15,"[{'reaction': 'ð\x9f¥³', 'actor': 'shane', 'timestamp': 1737082967}]",
15,16,1438,Katie,2025-01-17 13:06:24,16,,
16,17,1519,Katie,2025-01-18 23:30:42,17,,
17,18,1558,Katie,2025-01-20 03:15:08,18,,
18,19,1666,Katie,2025-01-21 10:32:10,19,,
19,20,1706,Katie,2025-01-22 02:41:58,20,,
20,21,1841,Katie,2025-01-24 09:58:45,21 earlier,,
21,22,1926,Katie,2025-01-25 16:28:59,22,,
22,23,1997,Katie,2025-01-27 02:23:04,23,,
23,24,2004,Katie,2025-01-27 09:04:51,24,,
