,Poop,IDs,user,timestamp,content,reactions,audio_files
0,1,50,Noelle,2025-01-01 12:57:07,1 â¨,"[{'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin', 'timestamp': 1735736674}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735739023}, {'reaction': 'â\x9d¤', 'actor': 'Ruby Long', 'timestamp': 1735736240}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735738719}]",
1,3,485,Noelle,2025-01-04 16:48:53,3,,
2,4,515,Noelle,2025-01-05 08:10:20,4,,
3,5,731,Noelle,2025-01-07 16:34:32,5,,
4,6,753,Noelle,2025-01-08 06:30:19,6,,
5,7,843,Noelle,2025-01-09 08:58:02,7,,
6,8,1061,Noelle,2025-01-11 06:02:04,8,,
7,9,1116,Noelle,2025-01-12 05:04:48,9,,
8,10,1237,Noelle,2025-01-13 14:53:40,10,,
9,11,1286,Noelle,2025-01-14 13:16:50,11,,
10,12,1523,Noelle,2025-01-19 02:27:59,12,,
11,13,1615,Noelle,2025-01-20 13:54:36,"13,14",,
12,14,1615,Noelle,2025-01-20 13:54:36,"13,14",,
13,15,1759,Noelle,2025-01-22 18:13:43,15,,
14,16,1875,Noelle,2025-01-25 00:07:35,16,,
