,Poop,IDs,user,timestamp,content,reactions
0,1,64,Ros,2025-01-01 14:28:52,1,
1,2,132,Ros,2025-01-01 19:28:19,2,
2,3,166,Ros,2025-01-02 10:56:36,3,
3,4,271,Ros,2025-01-02 17:37:19,4,
4,5,522,Ros,2025-01-05 13:12:47,5,
5,6,528,Ros,2025-01-05 14:23:07,6,
6,7,537,Ros,2025-01-05 18:48:31,7,
7,8,682,Ros,2025-01-07 11:23:29,8 yesterday,
8,9,794,Ros,2025-01-08 14:57:00,9,
9,10,875,Ros,2025-01-09 14:41:50,10,
10,11,942,Ros,2025-01-10 16:14:38,"1111     1111
   11         11
   11         11
   11         11
111111  111111","[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1736529702}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1736526664}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736526905}]"
