,content,timestamp,reactions,share,audio_files,photos,videos,call_duration
0,,2024-01-01 15:04:57.815,,"{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwZXJqbGJrcmlkcWFwbmRkNnR0MnVjNTJhOG0zcXlzOHh2eDExcXZkMSZlcD12MV9naWZzX2dpZklkJmN0PWc/wJiFG3sSO8mNtdeZSQ/200.gif', 'original_content_owner': 'backstreetboys'}",,,,
1,In ros' downstairs bathroom,2024-01-01 15:05:14.749,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Ros Hanley'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Dex'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Conan'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Dan Griffin'}]",,,,,
2,,2024-01-01 18:12:45.356,,"{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwcmxsdXlwbDVicnh6NXIxcTNlc21mdzdocnlkemV1MnVlNWR6MHh4aCZlcD12MV9naWZzX2dpZklkJmN0PWc/xTiN0h0Kh5gH7yQYUw/200.gif', 'original_content_owner': 'thebachelor'}",,,,
3,Also in ros' downstairs bathroom ð¤£,2024-01-01 18:13:01.292,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}]",,,,,
4,First and likely last time ive ever been ahead on these chats ð,2024-01-01 18:20:46.566,,,,,,
5,,2024-01-01 20:20:04.666,,"{'link': 'https://media3.giphy.com/media/v1.Y2lkPTQyMzA0NmQweHIwY2UxOW9mbzkycnMzZ2s2aDZ6Nmkwams3Z2h0bGYwN3N1aTM2NCZlcD12MV9naWZzX2dpZklkJmN0PWc/EsFI67hfi6B4hmdeCL/200.gif', 'original_content_owner': 'okcthunder'}",,,,
6,There wont be an update for about 4 days if last years is anything to go by haha,2024-01-01 20:24:20.741,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}]",,,,,
7,,2024-01-01 22:35:39.069,,{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwejNxcWd1dWVqOWYydGFhcDB4ZTRlaHhxOGI2YzBqbDhpcW4yYzIyMCZlcD12MV9naWZzX2dpZklkJmN0PWc/AxaKe2ImWL2Du/200.gif'},,,,
8,,2024-01-02 19:33:39.330,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Conan'}, {'reaction': 'ð\x9f\x97¿', 'actor': 'Dan Griffin'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Ros Hanley'}]",,"[{'uri': 'your_instagram_activity/messages/inbox/weaponsofassdestruction_6833428546725359/audio/audioclip170422401400026795_722397429607382.mp4', 'creation_timestamp': 1704224014}]",,,
9,,2024-01-02 19:35:54.172,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}]",,"[{'uri': 'your_instagram_activity/messages/inbox/weaponsofassdestruction_6833428546725359/audio/audioclip170422415000028374_332429583035000.mp4', 'creation_timestamp': 1704224150}]",,,
