,content,timestamp,reactions,share,audio_files,photos,videos,call_duration
0,stephen_allenxp reacted â¤ï¸ to your message ,2024-01-01 12:11:30,[],,,,,
1,stephen_allenxp reacted â¤ï¸ to your message ,2024-01-01 14:58:53,[],,,,,
2,What if I live on the toilet tho,2024-01-01 14:59:24,[],,,,,
3,Who won last year?,2024-01-01 15:01:00,[],,,,,
4,Can you get half points for farting so bad people think you shit yourself,2024-01-01 15:01:53,"['Eoin', 'Dan', 'Soumia']",,,,,
5,stephen_allenxp reacted â¤ï¸ to your message ,2024-01-01 15:01:54,[],,,,,
6,Guess ill just actually shit myself then,2024-01-01 15:02:29,"['Eoin', 'Dan', 'Soumia', 'Dex']",,,,,
7,stephen_allenxp reacted â¤ï¸ to your message ,2024-01-01 15:18:23,[],,,,,
8,1,2024-01-01 18:42:34,[],,,,,
9,Jack im worried,2024-01-01 20:23:19,[],,,,,
10,Oh,2024-01-01 23:31:21,[],,,,,
11,Wouldn't you be the ginger bred man in this case,2024-01-02 00:49:04,[],,,,,
12,Hate is such a strong word,2024-01-02 00:52:59,[],,,,,
13,Wait doesnt this have to be poop themed,2024-01-02 00:53:49,[],,,,,
14,That's better,2024-01-02 00:54:07,[],,,,,
15,2,2024-01-02 14:56:45,[],,,,,
16,Kerpoo,2024-01-02 14:56:55,"['Eoin', 'Katie']",,,,,
17,"Chug a pint of coffee, chew an entire pack of gum and slam a Guiness",2024-01-02 17:06:53,"['Eoin', 'Soumia']",,,,,
18,Self report?,2024-01-02 17:15:18,"['Eoin', 'Katie', 'Dex']",,,,,
19,ð²,2024-01-02 17:15:39,[],,,,,
20,Is he talking to shaggy?,2024-01-02 18:12:46,[],,,,,
21,Arnold you make my,2024-01-02 19:04:06,"['Eoin', 'Conan']",,,,,
22,,2024-01-02 19:13:32,"['Eoin', 'Katie', 'Dex']",,"[{'uri': 'your_instagram_activity/messages/inbox/poopooheads_6833428546725359/audio/audioclip17042228080003344_805678147984108.mp4', 'creation_timestamp': 1704222808}]",,,
23,,2024-01-02 19:14:26,"['Eoin', 'Ros']",,"[{'uri': 'your_instagram_activity/messages/inbox/poopooheads_6833428546725359/audio/audioclip17042228620004876_1527305461379150.mp4', 'creation_timestamp': 1704222862}]",,,
24,2 otalands boys one cup?,2024-01-02 19:14:49,"['Eoin', 'Katie', 'Dex']",,,,,
25,,2024-01-02 19:16:57,"['Eoin', 'Conor']",,"[{'uri': 'your_instagram_activity/messages/inbox/poopooheads_6833428546725359/audio/audioclip17042230130004690_353719143936544.mp4', 'creation_timestamp': 1704223013}]",,,
26,Cake ð¤ð¤ð¤,2024-01-02 19:21:23,[],,,,,
27,Oh I see how it is,2024-01-02 19:21:29,[],,,,,
28,Wait howd you get it to record without you holding the button?,2024-01-02 19:36:19,[],,,,,
29,Swiss army toe,2024-01-02 19:37:14,"['Eoin', 'Soumia']",,,,,
30,,2024-01-02 19:38:23,"['Eoin', 'Jack']",,"[{'uri': 'your_instagram_activity/messages/inbox/poopooheads_6833428546725359/audio/audioclip170422429900032972_377630731468153.mp4', 'creation_timestamp': 1704224299}]",,,
31,Im aaaaa poooooooppppppp,2024-01-02 19:39:11,[],,,,,
32,No thats the opposite of the aim jacks cmon you cant hold it in,2024-01-02 19:41:22,[],,,,,
33,Ive been advised by my brother to stop singing a poo themed parody of let it go,2024-01-02 19:43:07,"['Eoin', 'Soumia', 'Katie', 'Conan', 'Dex']",,,,,
34,Mini stroke during that one?,2024-01-02 19:57:46,"['Eoin', 'Soumia']",,,,,
35,I need to get back to my ahitty diet of Guinness and indian curry,2024-01-03 13:05:39,[],,,,,
36,For him shitting has evolved into a form of propulsion,2024-01-03 13:06:15,"['Eoin', 'Soumia']",,,,,
37,3,2024-01-03 14:04:59,[],,,,,
38,4,2024-01-03 14:28:11,[],,,,,
39,Get on my level,2024-01-03 14:28:14,"['Eoin', 'Soumia']",,,,,
40,Too soon dan ð,2024-01-03 14:31:49,"['Eoin', 'Conor', 'Dan']",,,,,
41,I only ever bought the munchy box,2024-01-03 15:22:51,[],,,,,
42,I bought so many munchy box,2024-01-03 15:22:58,[],,,,,
43,Decris les moi,2024-01-03 17:16:55,[],,,,,
44,Le,2024-01-03 17:17:05,[],,,,,
45,"Whats that? Fuses, crimps and electrical tape?",2024-01-03 18:25:17,['Eoin'],,,,,
46,5,2024-01-03 19:09:22,[],,,,,
47,In applying for jobs and it makes me nervous,2024-01-03 19:10:12,"['Eoin', 'Dan', 'Katie', 'Dex']",,,,,
48,Woah woah we aint drinking this,2024-01-03 19:12:39,"['Eoin', 'Dex']",,,,,
49,Showing the true colours,2024-01-03 19:13:04,[],,,,,
50,Brown,2024-01-03 19:13:07,[],,,,,
51,I guess,2024-01-03 19:13:10,[],,,,,
52,"Speak for yourself I actually poo when I pee, big difference",2024-01-04 11:58:39,['Eoin'],,,,,
53,We walk so you can shit conor,2024-01-04 18:54:32,[],,,,,
54,Only 1 year?,2024-01-04 22:52:29,[],,,,,
55,6,2024-01-05 00:29:37,"['Eoin', 'Soumia']",,,,,
56,Night night sleep tight,2024-01-05 00:29:42,[],,,,,
57,7,2024-01-05 12:56:10,[],,,,,
58,Why does it look like its gonna suck me in,2024-01-06 12:24:57,"['Eoin', 'Soumia']",,,,,
59,Gonna sit and that and never be seen again,2024-01-06 12:25:11,"['Eoin', 'Soumia']",,,,,
60,stephen_allenxp reacted â¤ï¸ to your message ,2024-01-06 12:25:32,[],,,,,
61,How did you skip 9,2024-01-06 13:46:20,[],,,,,
62,Oh my god,2024-01-06 13:46:33,[],,,,,
63,Brb gonna go shit,2024-01-06 13:46:47,[],,,,,
64,8,2024-01-06 13:49:40,[],,,,,
65,Whos Colum?,2024-01-06 13:53:52,[],,,,,
66,Does he give you enemas?,2024-01-06 13:54:07,[],,,,,
67,stephen_allenxp reacted â¤ï¸ to your message ,2024-01-06 13:54:23,[],,,,,
68,Nothing worse than a cold hand giving you an enema,2024-01-06 13:54:37,[],,,,,
69,9,2024-01-06 16:11:03,[],,,,,
70,We all shittin together?,2024-01-06 16:15:39,[],,,,,
71,Take a shit anakin,2024-01-06 16:15:54,[],,,,,
72,stephen_allenxp started a video chat,2024-01-06 19:03:13,[],,,,,
73,Video chat ended,2024-01-06 19:03:26,[],,,,,0.0
74,Did I ass dial you guys,2024-01-06 19:03:43,"['Eoin', 'Dan']",,,,,
75,10 stephens upstairs toilet,2024-01-07 13:35:43,"['Eoin', 'Conor', 'Dan', 'Soumia', 'Dex']",,,,,
76,3 shits today and its only 4 o clock,2024-01-07 16:23:57,"['Eoin', 'Dan', 'Soumia']",,,,,
77,What are you eating,2024-01-07 16:24:00,[],,,,,
78,You are what you eat ð¤,2024-01-07 16:28:58,[],,,,,
79,What if I've already done this,2024-01-07 18:13:01,"['Eoin', 'Dex']",,,,,
80,What if we... Shit each others pants jkjkjk .... Unless ð¤,2024-01-07 18:14:21,"['Eoin', 'Dex']",,,,,
81,Lads ive just eaten a very spicy very oily curry,2024-01-07 18:33:02,[],,,,,
82,Gonna be taking that lead back tomorrow,2024-01-07 18:33:10,[],,,,,
83,11,2024-01-08 13:11:49,[],,,,,
84,You fellas have really taken off,2024-01-08 18:26:49,[],,,,,
85,12,2024-01-09 10:34:25,['Dex'],,,,,
86,,2024-01-09 14:09:57,"['Eoin', 'Soumia']",{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQweWkwZzgxcTZlNWNjeDBmM2J5dWlyamVkYzUyam5lenpiYXRsaXV0cyZlcD12MV9naWZzX2dpZklkJmN0PWc/p69t8Ndmv5FU4/200.gif'},,,,
87,Dude stop cmon,2024-01-09 18:26:24,"['Eoin', 'Soumia']",,,,,
88,14,2024-01-10 11:56:34,"['Eoin', 'Dan', 'Soumia']",,,,,
89,Hes the poo machine gun,2024-01-10 14:22:52,[],,,,,
90,"If conan was a gun hed go ""poo poo poo"" instead",2024-01-10 14:23:08,[],,,,,
91,15,2024-01-10 21:29:05,"['Eoin', 'Conan']",,,,,
92,stephen_allenxp named the group Total Prolapse of the Bowel ð¶ðµð¶ð°.,2024-01-10 22:20:43,[],,,,,
93,I got two in 20 minutes when I was applying for jobs,2024-01-10 22:38:13,"['Eoin', 'Soumia']",,,,,
94,It was a wrong answer on the pub quiz,2024-01-10 22:40:09,[],,,,,
95,16,2024-01-11 14:28:31,"['Eoin', 'Soumia']",,,,,
96,Im so proud ð¤,2024-01-11 18:32:04,['Eoin'],,,,,
97,17,2024-01-11 22:33:49,"['Eoin', 'Soumia']",,,,,
98,How did you get three today by 7 o clock,2024-01-11 22:34:43,[],,,,,
99,Jack here shitting vicariously through his mates,2024-01-12 10:27:05,['Eoin'],,,,,
100,Id like to get down to that earth,2024-01-12 12:33:19,"['Eoin', 'Soumia']",,,,,
101,18,2024-01-12 13:38:45,"['Eoin', 'Soumia']",,,,,
102,,2024-01-12 16:19:54,"['Eoin', 'Dan', 'Soumia', 'Katie']",,,"[{'uri': 'your_instagram_activity/messages/inbox/poopooheads_6833428546725359/photos/414106296_1378815666070765_2885301351230966997_n_1378815662737432.jpg', 'creation_timestamp': 1705076393, 'backup_uri': 'https://scontent-dub4-1.xx.fbcdn.net/v/t1.15752-9/414106296_1378815666070765_2885301351230966997_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=9f807c&_nc_ohc=QIhpxYSNT5MQ7kNvgEPKu9N&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dub4-1.xx&oh=03_Q7cD1QFikyobfoLUewclfs4NNRY_ZoZgw4tC-fZ1fBW6Dh6-KQ&oe=676F266A'}]",,
103,Leaked photo of eoin ~15:30,2024-01-12 16:20:21,['Eoin'],,,,,
104,19,2024-01-12 19:20:14,"['Eoin', 'Dan', 'Soumia']",,,,,
105,Not anymore,2024-01-12 22:59:19,[],,,,,
106,If anything it's you guys,2024-01-12 22:59:29,[],,,,,
107,You shiddin?,2024-01-12 23:02:57,[],,,,,
108,Rn?,2024-01-12 23:03:01,"['Eoin', 'Soumia']",,,,,
109,Douching*,2024-01-12 23:09:33,[],,,,,
110,I corrected your grammar at the beat drop,2024-01-12 23:10:16,[],,,,,
111,Soumia can confirm,2024-01-12 23:10:21,"['Eoin', 'Soumia']",,,,,
112,Omg I love bublÃ©,2024-01-12 23:34:27,"['Eoin', 'Katie']",,,,,
113,Oh no it's a furry ð¶,2024-01-12 23:36:49,['Eoin'],,,,,
114,I left like 2 minutes after you,2024-01-12 23:45:27,[],,,,,
115,I was there for the card games,2024-01-12 23:45:43,"['Eoin', 'Soumia']",,,,,
116,They were so slow I left,2024-01-12 23:45:48,"['Eoin', 'Soumia']",,,,,
117,Wait wait wait,2024-01-12 23:50:33,[],,,,,
118,The bms tho,2024-01-12 23:50:46,[],,,,,
119,I gotta get myself a ticket to america,2024-01-12 23:50:52,[],,,,,
