,Poop,IDs,user,timestamp,content,reactions
0,1,4,Harry,2025-01-01 12:20:42,Iâm on 1,
1,1,9,Conan,2025-01-01 12:21:47,1,
2,1,12,Conor,2025-01-01 12:22:44,1,
3,1,14,Ruby,2025-01-01 12:23:06,1,
4,1,17,Shane,2025-01-01 12:25:22,1,"[{'reaction': 'â\x9d¤', 'actor': 'Ruby Long', 'timestamp': 1735734331}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735734336}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1735734328}]"
5,1,49,Katie,2025-01-01 12:45:24,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735735567}]"
6,1,50,Noelle,2025-01-01 12:57:07,1 â¨,"[{'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin', 'timestamp': 1735736674}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735739023}, {'reaction': 'â\x9d¤', 'actor': 'Ruby Long', 'timestamp': 1735736240}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735738719}]"
7,2,52,Conan,2025-01-01 13:34:47,2,
8,1,54,Clay,2025-01-01 13:39:49,1,"[{'reaction': 'ð\x9f\x98®', 'actor': 'Dan Griffin', 'timestamp': 1735738883}]"
9,1,55,Stephen,2025-01-01 13:43:18,1,
10,2,56,Stephen,2025-01-01 13:43:21,2,
11,1,63,Sean,2025-01-01 14:18:56,1,
12,1,64,Ros,2025-01-01 14:28:52,1,
13,3,69,Conan,2025-01-01 14:54:21,3,
14,1,80,Soumia,2025-01-01 15:01:26,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735743700}]"
15,1,81,Niamh,2025-01-01 15:01:33,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735743701}]"
16,1,93,Dex,2025-01-01 15:25:21,1 - feels weird starting over,
17,2,102,Clay,2025-01-01 16:26:39,2,
18,1,104,Suzanne,2025-01-01 16:33:18,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735749203}]"
19,3,105,Stephen,2025-01-01 16:35:16,3,
20,2,106,Shane,2025-01-01 16:43:47,2,
21,2,126,Niamh,2025-01-01 17:30:39,2,
22,1,128,Eoin,2025-01-01 18:54:12,1,
23,2,132,Ros,2025-01-01 19:28:19,2,
24,2,134,Conor,2025-01-01 21:32:49,2,
25,4,141,Conan,2025-01-01 23:02:04,4,"[{'reaction': 'ð\x9f\x98©', 'actor': 'shane', 'timestamp': 1735772715}]"
26,3,155,Niamh,2025-01-01 23:51:39,3,
27,2,158,Eoin,2025-01-02 08:45:18,2,
28,3,160,Clay,2025-01-02 09:33:07,3,
29,4,161,Clay,2025-01-02 10:26:04,4,
30,3,166,Ros,2025-01-02 10:56:36,3,
31,2,174,Suzanne,2025-01-02 11:24:59,2,"[{'reaction': 'ð\x9f\x98®', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735817127}]"
32,3,176,Shane,2025-01-02 12:06:36,3,
33,1,187,Keelin,2025-01-02 12:22:32,1 ð,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735820580}]"
34,2,188,Dex,2025-01-02 12:25:29,2,"[{'reaction': 'â\x9d¤', 'actor': 'Stephen Allen', 'timestamp': 1735821417}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735820850}]"
35,2,209,Ruby,2025-01-02 12:55:44,2 âð»,
36,2,210,Harry,2025-01-02 13:05:17,2,
37,5,211,Clay,2025-01-02 13:37:44,5,
38,4,212,Niamh,2025-01-02 13:39:10,4,"[{'reaction': 'â\x9d¤', 'actor': 'Ruby Long', 'timestamp': 1735876002}]"
39,2,213,Sean,2025-01-02 13:41:09,2,
40,3,223,Dex,2025-01-02 14:01:24,3,
41,2,229,Emma Smyth,2025-01-02 14:22:04,2 ð©,
42,6,237,Conan,2025-01-02 14:26:21,"If you wanna up your score here's a good meal plan 

Breakfast: espresso and red bull
Lunch: mcdonald's mcspicy meal 
Dinner: 5 guinnesses, heck maybe even 6 guinnesses","[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735827985}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735828112}]"
43,5,237,Conan,2025-01-02 14:26:21,"If you wanna up your score here's a good meal plan 

Breakfast: espresso and red bull
Lunch: mcdonald's mcspicy meal 
Dinner: 5 guinnesses, heck maybe even 6 guinnesses","[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735827985}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735828112}]"
44,3,242,Conor,2025-01-02 14:27:34,"And we're 3 years deep, there's nothing that we haven't already said, we are literally in this shit together","[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735828067}]"
45,3,243,Eoin,2025-01-02 14:30:23,3,
46,2,255,Soumia,2025-01-02 15:01:35,2,
47,2,260,Katie,2025-01-02 15:34:46,2,
48,2,266,Emma Sherlock,2025-01-02 16:20:44,2 ð,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735836089}, {'reaction': 'ð\x9f\x91\x8f', 'actor': 'Dex', 'timestamp': 1735834859}]"
49,4,271,Ros,2025-01-02 17:37:19,4,
50,3,276,Sean,2025-01-02 17:50:52,3,
51,3,278,Harry,2025-01-02 18:31:24,3,
52,4,289,Sean,2025-01-02 19:40:08,4,
53,6,292,Clay,2025-01-02 19:46:00,6,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735847179}]"
54,3,297,Soumia,2025-01-02 20:18:36,3,
55,1,303,Georgia,2025-01-03 01:44:42,1,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735888850}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735896482}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1735905413}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735895971}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1735878009}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1735868695}]"
56,3,309,Emma Smyth,2025-01-03 09:28:31,3,
57,4,310,Eoin,2025-01-03 09:35:10,4,
58,4,311,Harry,2025-01-03 09:55:10,4,
59,4,312,Dex,2025-01-03 10:00:44,4,"[{'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735898514}]"
60,3,314,Emma Sherlock,2025-01-03 10:06:19,3,
61,4,315,Shane,2025-01-03 11:41:37,4,
62,4,321,Stephen,2025-01-03 12:04:09,4,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735905880}]"
63,5,350,Harry,2025-01-03 13:09:23,5,
64,2,354,Dan,2025-01-03 14:06:17,2,
65,3,361,Suzanne,2025-01-03 16:28:14,3,
66,7,362,Conan,2025-01-03 16:30:03,7,
67,6,444,Niamh,2025-01-03 18:19:53,6,
68,2,445,Keelin,2025-01-03 18:56:56,2,
69,5,446,Eoin,2025-01-03 18:59:09,5,
70,5,453,Stephen,2025-01-03 22:18:52,5,"[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735944162}]"
71,7,457,Niamh,2025-01-03 22:44:19,7 âï¸,
72,3,474,Katie,2025-01-04 01:56:06,3,
73,6,475,Harry,2025-01-04 11:44:37,6,
74,3,476,Keelin,2025-01-04 12:32:56,3,
75,3,477,Dan,2025-01-04 13:02:56,3,
76,5,478,Shane,2025-01-04 14:33:22,4 & 5 forgot to update yesterday!!!!,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736001292}]"
77,8,479,Conan,2025-01-04 14:35:53,8,
78,5,480,Dex,2025-01-04 14:42:52,Birthed 5,"[{'reaction': 'ð\x9f\x98®', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736002266}]"
79,6,482,Stephen,2025-01-04 15:12:12,6,
80,3,485,Noelle,2025-01-04 16:48:53,3,
81,9,486,Conan,2025-01-04 17:46:30,9,
82,3,487,Ruby,2025-01-04 17:51:34,3,
83,4,488,Soumia,2025-01-04 18:28:48,4 ð¦¨,"[{'reaction': 'ð\x9f\x98¢', 'actor': 'Dex', 'timestamp': 1736015342}]"
84,8,495,Niamh,2025-01-04 19:00:45,8,
85,5,508,Sean,2025-01-04 19:31:19,5,
86,6,509,Dex,2025-01-04 20:45:28,6,
87,4,510,Emma Sherlock,2025-01-04 20:51:49,4,
88,6,512,Sean,2025-01-05 00:17:13,6,
89,4,513,Conor,2025-01-05 00:22:01,4,
90,4,515,Noelle,2025-01-05 08:10:20,4,
91,2,516,Georgia,2025-01-05 10:43:07,2ð«¡ð«¡ð«¡,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1736074690}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736080086}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736074877}]"
92,7,518,Clay,2025-01-05 11:02:18,7,
93,6,519,Eoin,2025-01-05 12:27:53,6,
94,7,521,Harry,2025-01-05 12:59:54,7,
95,5,522,Ros,2025-01-05 13:12:47,5,
96,4,524,Keelin,2025-01-05 13:18:12,4,
97,4,526,Ruby,2025-01-05 13:33:08,4,
98,7,527,Dex,2025-01-05 13:42:24,7,
99,6,528,Ros,2025-01-05 14:23:07,6,
100,7,530,Eoin,2025-01-05 15:18:52,7,
101,8,532,Harry,2025-01-05 15:26:24,8,
102,6,533,Shane,2025-01-05 16:32:39,6 and 7!!,
103,7,533,Shane,2025-01-05 16:32:39,6 and 7!!,
104,7,534,Stephen,2025-01-05 16:47:18,7,
105,9,535,Niamh,2025-01-05 17:49:33,9,
106,10,536,Conan,2025-01-05 17:53:18,10,
107,7,537,Ros,2025-01-05 18:48:31,7,
108,4,538,Dan,2025-01-05 18:50:50,4,
109,4,554,Suzanne,2025-01-05 23:18:14,4,
110,8,556,Dex,2025-01-05 23:42:05,8,
111,8,557,Stephen,2025-01-06 00:53:00,8,
112,4,559,Katie,2025-01-06 04:14:28,4,
113,5,561,Ruby,2025-01-06 04:58:12,5,
114,3,562,Georgia,2025-01-06 07:04:19,3ðª,
115,8,567,Eoin,2025-01-06 10:58:55,8,
116,8,569,Shane,2025-01-06 11:00:14,8 ðð,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736161223}]"
117,5,572,Dan,2025-01-06 11:43:13,5,
118,6,581,Dan,2025-01-06 12:18:47,dan_griffin6 liked a message,
119,9,636,Stephen,2025-01-06 13:12:31,9,
120,9,638,Harry,2025-01-06 13:30:46,9,
121,9,643,Shane,2025-01-06 15:13:07,9!!!,
122,10,644,Niamh,2025-01-06 15:13:52,10,
123,11,650,Conan,2025-01-06 15:29:23,11,
124,8,653,Clay,2025-01-06 15:53:42,8,
125,5,654,Katie,2025-01-06 16:02:58,5,
126,5,655,Emma Smyth,2025-01-06 16:26:10,5 ð©,
127,5,659,Keelin,2025-01-06 19:32:57,5,
128,5,660,Emma Sherlock,2025-01-06 20:48:08,5,
129,9,661,Dex,2025-01-06 22:32:43,9,
130,6,663,Ruby,2025-01-07 08:05:36,6,
131,6,664,Katie,2025-01-07 09:44:15,6,
132,9,665,Clay,2025-01-07 10:31:13,9,
