,Poop,IDs,user,timestamp,content,reactions
0,1,12,Conor,2025-01-01 12:22:44,1,
1,2,134,Conor,2025-01-01 21:32:49,2,
2,3,242,Conor,2025-01-02 14:27:34,"And we're 3 years deep, there's nothing that we haven't already said, we are literally in this shit together","[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735828067}]"
3,4,513,Conor,2025-01-05 00:22:01,4,
4,5,748,Conor,2025-01-07 23:04:26,5,
5,6,834,Conor,2025-01-09 00:36:35,6,
6,7,896,Conor,2025-01-09 21:14:17,7,
7,8,1104,Conor,2025-01-11 23:34:22,8,
8,9,1134,Conor,2025-01-12 14:46:12,9,
9,10,1174,Conor,2025-01-12 17:10:30,10,
10,11,1193,Conor,2025-01-12 21:14:26,11,
11,12,1255,Conor,2025-01-13 20:39:23,12,
12,13,1296,Conor,2025-01-14 17:50:58,13,
13,14,1345,Conor,2025-01-16 08:48:13,14,
14,15,1367,Conor,2025-01-16 14:01:29,15,
15,16,1461,Conor,2025-01-17 22:33:28,16,
16,17,1530,Conor,2025-01-19 10:48:08,17,
17,18,1546,Conor,2025-01-19 18:20:13,18,
18,19,1572,Conor,2025-01-20 11:31:21,19,
19,20,1659,Conor,2025-01-21 00:08:47,20,
20,21,1717,Conor,2025-01-22 10:06:38,21,
21,22,1742,Conor,2025-01-22 15:44:57,22,
22,23,1766,Conor,2025-01-23 07:50:57,23,
23,24,1802,Conor,2025-01-23 20:39:14,24,
24,25,1810,Conor,2025-01-23 23:20:18,25,
25,26,1872,Conor,2025-01-24 23:28:34,26,
26,28,1992,Conor,2025-01-26 22:06:31,28,
27,29,2028,Conor,2025-01-27 18:31:00,29,
28,30,2106,Conor,2025-01-28 19:19:20,30,
29,31,2176,Conor,2025-01-30 09:23:21,31,
30,32,2243,Conor,2025-01-31 22:45:59,32,
31,33,2390,Conor,2025-02-01 20:57:18,33,
32,34,2426,Conor,2025-02-02 20:22:25,34,
33,36,2589,Conor,2025-02-06 10:48:35,36,
34,37,2603,Conor,2025-02-06 13:59:31,37,
35,38,2722,Conor,2025-02-08 15:16:08,38,
36,39,2735,Conor,2025-02-09 10:24:41,39,
37,40,2763,Conor,2025-02-09 18:42:38,40,
38,41,2855,Conor,2025-02-10 17:22:30,41,
39,42,2917,Conor,2025-02-12 09:36:59,42,
40,43,2929,Conor,2025-02-12 14:02:13,43,
41,44,2983,Conor,2025-02-14 11:27:55,44,
42,45,3069,Conor,2025-02-16 09:30:09,45 last night,
43,46,3090,Conor,2025-02-16 20:00:43,46,
44,47,3188,Conor,2025-02-19 16:38:11,47,
45,48,3289,Conor,2025-02-20 22:24:04,48,
46,49,3306,Conor,2025-02-21 15:36:37,49,
47,50,3332,Conor,2025-02-22 11:22:21,50 ð,"[{'reaction': 'â\x9d¤', 'actor': 'Emma Smyth'}]"
48,51,3434,Conor,2025-02-25 15:25:05,51,
49,52,3467,Conor,2025-02-26 11:01:53,52,
50,53,3485,Conor,2025-02-26 16:26:40,53,
51,54,3561,Conor,2025-02-27 14:46:32,54,
52,55,3695,Conor,2025-03-01 00:13:38,55,
53,56,3779,Conor,2025-03-01 22:12:32,56,
54,57,3858,Conor,2025-03-03 22:16:41,57,
55,58,3871,Conor,2025-03-04 18:10:40,58,
56,59,3878,Conor,2025-03-04 21:52:29,59,
57,60,3994,Conor,2025-03-06 21:41:51,60,
58,61,4084,Conor,2025-03-09 08:33:58,61,
59,62,4228,Conor,2025-03-12 21:22:34,62,
60,63,4289,Conor,2025-03-14 18:18:13,63,
61,64,4318,Conor,2025-03-15 07:45:33,64,
62,65,4329,Conor,2025-03-15 12:43:21,65,
63,66,4368,Conor,2025-03-16 09:54:53,66,
64,67,4438,Conor,2025-03-17 09:57:34,67,"[{'reaction': 'â\x9d¤', 'actor': 'shane'}]"
65,68,4469,Conor,2025-03-17 21:03:44,68,
66,69,4612,Conor,2025-03-20 09:13:01,69,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}]"
67,70,4629,Conor,2025-03-20 18:13:42,70,
68,71,4640,Conor,2025-03-21 07:14:31,71,
69,72,4824,Conor,2025-03-24 19:50:03,72,
70,73,4857,Conor,2025-03-25 21:31:05,73,
71,74,4901,Conor,2025-03-26 17:53:24,74,
72,75,4920,Conor,2025-03-27 08:33:00,75,
73,76,5043,Conor,2025-03-29 16:30:59,76,
74,77,5052,Conor,2025-03-30 10:01:03,77,
75,78,5226,Conor,2025-04-01 06:49:55,78,
76,79,5256,Conor,2025-04-01 17:00:27,79,
77,80,5368,Conor,2025-04-03 16:53:55,80,
78,81,5396,Conor,2025-04-04 17:55:45,81,
79,82,5423,Conor,2025-04-05 13:33:15,82,
80,83,5463,Conor,2025-04-06 08:20:49,83,
81,84,5549,Conor,2025-04-08 18:47:01,84,
82,85,5598,Conor,2025-04-10 06:37:17,85,
83,86,5662,Conor,2025-04-11 17:54:28,86,
84,87,5684,Conor,2025-04-12 09:56:49,87,
85,88,5743,Conor,2025-04-13 13:49:38,88,
86,89,5783,Conor,2025-04-14 16:58:24,89,
87,90,5823,Conor,2025-04-16 08:00:06,90,
88,91,5864,Conor,2025-04-16 16:49:48,91,
89,92,5873,Conor,2025-04-17 07:04:05,92,
90,93,5914,Conor,2025-04-17 17:14:15,93,
91,94,5952,Conor,2025-04-18 16:47:51,94,
92,95,5963,Conor,2025-04-19 09:51:00,95,
93,96,5988,Conor,2025-04-20 09:22:12,96,
94,97,6139,Conor,2025-04-23 07:08:38,97,"[{'reaction': 'â\x9d¤', 'actor': 'shane'}]"
95,98,6162,Conor,2025-04-23 17:32:44,98,
96,99,6168,Conor,2025-04-24 07:05:24,99 ð¦,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}]"
97,100,6261,Conor,2025-04-25 18:21:29,100ððð,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin'}, {'reaction': 'ð\x9f\x92\x90', 'actor': 'Emma Smyth'}, {'reaction': 'â\x9d¤', 'actor': 'Ruby Long'}, {'reaction': 'â\x9d¤', 'actor': 'Dex'}]"
98,101,6282,Conor,2025-04-26 08:49:30,101,
99,102,6321,Conor,2025-04-26 19:03:39,102,
100,103,6323,Conor,2025-04-26 21:21:19,103,
101,104,6351,Conor,2025-04-27 13:45:12,104,
102,105,6400,Conor,2025-04-28 20:14:23,105,
103,106,6424,Conor,2025-04-29 17:02:57,106,
104,107,6430,Conor,2025-04-29 19:19:29,107,
105,108,6474,Conor,2025-04-30 19:51:53,108,
106,109,6478,Conor,2025-04-30 20:58:50,109,
107,110,6616,Conor,2025-05-01 20:53:02,110,"[{'reaction': 'â\x9d¤', 'actor': 'shane'}]"
108,111,6660,Conor,2025-05-02 21:39:04,111,"[{'reaction': 'ð\x9f\x98\x87', 'actor': 'Emma Smyth'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]"
109,112,6699,Conor,2025-05-04 12:59:57,112,
110,113,6746,Conor,2025-05-05 19:11:37,113,
111,114,6895,Conor,2025-05-09 22:04:20,114,
112,115,6902,Conor,2025-05-10 06:30:28,115,
113,116,6917,Conor,2025-05-10 13:56:00,116,
114,117,6962,Conor,2025-05-11 20:42:39,117,
115,118,7015,Conor,2025-05-12 21:28:47,118,
116,119,7121,Conor,2025-05-15 17:16:55,119,
117,120,7123,Conor,2025-05-15 19:56:33,120,"[{'reaction': 'â\x9d¤', 'actor': 'shane'}]"
118,121,7164,Conor,2025-05-16 21:57:09,121,
119,122,7197,Conor,2025-05-17 16:08:20,122,
120,123,7224,Conor,2025-05-18 09:59:24,123,
121,124,7392,Conor,2025-05-21 18:51:29,124,
122,125,7442,Conor,2025-05-22 21:58:14,125,
123,126,7538,Conor,2025-05-24 16:35:55,126,
124,127,7583,Conor,2025-05-25 20:04:19,127,
125,128,7673,Conor,2025-05-27 17:00:06,128,
126,129,7727,Conor,2025-05-28 16:40:50,129,
127,130,7780,Conor,2025-05-29 20:23:22,130,
128,131,7817,Conor,2025-05-30 16:34:07,131,
129,132,7857,Conor,2025-05-31 10:25:17,132,
130,133,7992,Conor,2025-06-01 13:56:59,133,
131,134,8030,Conor,2025-06-01 21:26:52,134,
132,135,8152,Conor,2025-06-05 08:41:06,135,
133,136,8182,Conor,2025-06-05 17:32:05,136,
134,137,8213,Conor,2025-06-06 18:10:13,137,
135,138,8217,Conor,2025-06-06 20:40:28,138,
136,139,8288,Conor,2025-06-08 07:44:59,139,
137,140,8310,Conor,2025-06-08 15:16:12,140,
138,141,8349,Conor,2025-06-09 20:54:30,141,
139,142,8380,Conor,2025-06-10 19:02:46,142,
140,143,8433,Conor,2025-06-11 21:33:50,143,
141,144,8455,Conor,2025-06-12 16:51:29,144,
142,145,8503,Conor,2025-06-13 18:26:12,145,
143,146,8545,Conor,2025-06-14 16:49:38,146,
144,147,8562,Conor,2025-06-15 07:19:19,147,
145,148,8630,Conor,2025-06-16 18:16:00,148,"[{'reaction': 'â\x9d¤', 'actor': 'shane'}]"
146,149,8707,Conor,2025-06-18 19:25:36,149,
147,150,8783,Conor,2025-06-20 21:39:30,150,
148,151,8787,Conor,2025-06-21 07:36:18,151,
149,152,8831,Conor,2025-06-22 11:47:29,152,
150,153,8917,Conor,2025-06-24 16:39:03,153,
151,154,8928,Conor,2025-06-24 19:17:02,154,
152,155,8977,Conor,2025-06-25 16:38:04,155,
153,156,9013,Conor,2025-06-26 18:13:33,156,
154,157,9016,Conor,2025-06-26 19:51:58,157,
155,158,9047,Conor,2025-06-27 18:42:29,158,
156,159,9086,Conor,2025-06-29 06:11:20,159,
157,160,9146,Conor,2025-06-29 16:45:29,160,
158,161,9149,Conor,2025-06-29 20:41:13,161,
