,Poop,IDs,user,timestamp,content,reactions
0,2,354,Dan,2025-01-03 14:06:17,2,
1,3,477,Dan,2025-01-04 13:02:56,3,
2,4,538,Dan,2025-01-05 18:50:50,4,
3,5,572,Dan,2025-01-06 11:43:13,5,
4,6,581,Dan,2025-01-06 12:18:47,dan_griffin6 liked a message,
5,7,698,Dan,2025-01-07 14:30:40,7,
6,8,789,Dan,2025-01-08 14:14:35,8,
7,9,828,Dan,2025-01-08 22:43:57,9,
8,10,845,Dan,2025-01-09 10:10:52,10,
9,11,858,Dan,2025-01-09 14:10:15,11,
10,12,973,Dan,2025-01-10 17:24:55,12,
11,13,1221,Dan,2025-01-13 12:05:09,13,
12,14,1287,Dan,2025-01-14 13:54:43,14 satisfying,
13,15,1291,Dan,2025-01-14 15:51:54,15,
14,16,1335,Dan,2025-01-15 19:22:58,16,
15,17,1349,Dan,2025-01-16 09:55:55,17,
16,18,1358,Dan,2025-01-16 12:52:33,18,
17,19,1428,Dan,2025-01-17 12:11:24,19,
18,20,1537,Dan,2025-01-19 13:18:11,20,
19,21,1565,Dan,2025-01-20 09:11:23,21,
20,22,1665,Dan,2025-01-21 10:19:15,22,
21,23,1684,Dan,2025-01-21 12:43:43,23,
22,24,1731,Dan,2025-01-22 10:40:46,24,
23,25,1772,Dan,2025-01-23 10:36:19,25,
24,26,1854,Dan,2025-01-24 11:35:04,26,
25,27,1930,Dan,2025-01-25 18:30:08,27,
26,28,1955,Dan,2025-01-26 10:37:55,28,
27,29,1982,Dan,2025-01-26 17:17:10,29,
28,30,2020,Dan,2025-01-27 11:06:41,30,
29,31,2048,Dan,2025-01-28 09:05:14,31,
30,32,2063,Dan,2025-01-28 11:43:54,32,
31,33,2069,Dan,2025-01-28 14:27:08,33,
32,34,2175,Dan,2025-01-30 09:19:37,34,
33,35,2182,Dan,2025-01-30 11:45:19,35,
34,36,2214,Dan,2025-01-31 11:00:36,36,
35,37,2218,Dan,2025-01-31 13:56:53,37,
36,38,2365,Dan,2025-02-01 13:12:57,38 hungover,"[{'reaction': 'ð\x9f\x98¢', 'actor': 'Emma Smyth'}]"
37,39,2416,Dan,2025-02-02 16:52:49,39,
38,40,2462,Dan,2025-02-03 16:16:08,40,
39,41,2484,Dan,2025-02-04 09:10:11,41,
40,42,2490,Dan,2025-02-04 10:03:52,42,
41,43,2530,Dan,2025-02-05 11:17:23,43,
42,44,2533,Dan,2025-02-05 12:44:44,44 a big guy,
43,45,2595,Dan,2025-02-06 12:47:20,45,
44,46,2640,Dan,2025-02-07 12:04:13,46,
45,47,2707,Dan,2025-02-08 13:13:57,47,
46,48,2776,Dan,2025-02-10 00:12:35,48,
47,49,2790,Dan,2025-02-10 09:19:41,49,
48,50,2793,Dan,2025-02-10 11:28:08,50 ð´,
49,51,2863,Dan,2025-02-11 09:39:07,51,
50,52,2865,Dan,2025-02-11 12:40:32,52,
51,53,2923,Dan,2025-02-12 10:42:04,53,
52,54,2924,Dan,2025-02-12 12:28:49,54,
53,55,2945,Dan,2025-02-13 11:18:36,55,
54,56,2961,Dan,2025-02-13 13:52:30,56,
55,57,2979,Dan,2025-02-14 10:30:16,57,
56,58,2989,Dan,2025-02-14 12:32:27,58,
57,59,3073,Dan,2025-02-16 13:14:49,59,
58,60,3106,Dan,2025-02-17 11:35:13,60,
59,61,3137,Dan,2025-02-18 11:22:17,61,
60,62,3243,Dan,2025-02-20 11:22:28,62,
61,63,3256,Dan,2025-02-20 12:35:14,63,
62,64,3269,Dan,2025-02-20 13:51:58,64 lawdy,
63,65,3291,Dan,2025-02-21 00:03:49,65,
64,66,3302,Dan,2025-02-21 14:27:46,66,
65,67,3342,Dan,2025-02-22 15:57:09,67,
66,68,3392,Dan,2025-02-24 09:19:31,68,
67,69,3398,Dan,2025-02-24 12:00:54,69,"[{'reaction': 'ð\x9f«¦', 'actor': 'Emma Smyth'}, {'reaction': 'ð\x9f¥µ', 'actor': 'Dex'}]"
68,70,3410,Dan,2025-02-25 09:38:56,70,
69,71,3420,Dan,2025-02-25 11:44:22,71,
70,72,3433,Dan,2025-02-25 15:22:34,72,
71,73,3462,Dan,2025-02-26 10:11:14,73 clogged the toilet in work ð,"[{'reaction': 'ð\x9f\x98\x82', 'actor': 'Georgia-Rae'}, {'reaction': 'ð\x9f\x98®', 'actor': 'Emma Smyth'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]"
72,74,3484,Dan,2025-02-26 14:16:28,Wait no 74,
73,75,3549,Dan,2025-02-27 12:39:43,75,
74,76,3575,Dan,2025-02-28 12:00:35,76 and 77,
75,77,3575,Dan,2025-02-28 12:00:35,76 and 77,
76,78,3587,Dan,2025-02-28 15:29:31,78,
77,79,3762,Dan,2025-03-01 12:38:27,79,
78,80,3820,Dan,2025-03-03 08:42:41,80,
79,81,3825,Dan,2025-03-03 10:55:55,81,
80,82,3866,Dan,2025-03-04 11:34:13,82,
81,83,3879,Dan,2025-03-04 23:14:54,83,
82,84,3890,Dan,2025-03-05 09:37:06,84 small and cute ð¥°,"[{'reaction': 'â\x9d¤', 'actor': 'shane'}]"
83,85,3930,Dan,2025-03-05 13:47:04,85,
84,86,3968,Dan,2025-03-06 09:13:15,86,
85,87,3974,Dan,2025-03-06 12:25:49,87,
86,88,3983,Dan,2025-03-06 16:15:26,88,
87,89,4010,Dan,2025-03-07 11:59:08,89,
88,90,4066,Dan,2025-03-08 17:01:40,90,
89,91,4111,Dan,2025-03-10 09:05:18,91,
90,92,4147,Dan,2025-03-10 15:03:56,92,
91,93,4171,Dan,2025-03-11 11:45:05,93,
92,94,4189,Dan,2025-03-12 10:28:41,94,
93,95,4194,Dan,2025-03-12 11:56:09,95,
94,96,4263,Dan,2025-03-13 20:41:50,96,
95,97,4322,Dan,2025-03-15 12:25:48,97,
96,98,4446,Dan,2025-03-17 12:38:15,98,
97,101,4644,Dan,2025-03-21 09:20:58,101,
98,102,4728,Dan,2025-03-22 11:35:42,102,
99,103,4744,Dan,2025-03-22 15:47:44,103,
100,104,4764,Dan,2025-03-23 12:06:55,104,
101,105,4799,Dan,2025-03-23 21:15:50,105 I lied ð,
102,106,4822,Dan,2025-03-24 19:14:31,106,
103,107,4835,Dan,2025-03-25 09:52:48,107,
104,108,4838,Dan,2025-03-25 11:54:14,108,
105,109,4870,Dan,2025-03-26 10:20:03,109,
106,112,4999,Dan,2025-03-28 13:52:38,112 now,
107,113,5037,Dan,2025-03-29 14:49:53,113,
108,114,5057,Dan,2025-03-30 13:14:30,114,
109,115,5090,Dan,2025-03-31 09:34:21,115,
110,116,5239,Dan,2025-04-01 10:14:52,116,
111,117,5250,Dan,2025-04-01 14:33:11,117,
112,118,5264,Dan,2025-04-01 22:38:10,118,
113,119,5280,Dan,2025-04-02 09:46:47,119,
114,120,5322,Dan,2025-04-02 18:46:32,120,
115,121,5346,Dan,2025-04-03 09:22:41,121,
116,122,5357,Dan,2025-04-03 13:25:08,122,
117,123,5385,Dan,2025-04-04 11:17:33,Calling @sagelike.ie cause I just hit 123,"[{'reaction': 'â\x9d¤', 'actor': 'Stephen Allen'}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley'}]"
118,124,5390,Dan,2025-04-04 13:19:03,124,
119,125,5455,Dan,2025-04-05 21:17:29,125,
120,126,5467,Dan,2025-04-06 11:55:03,126,
121,127,5488,Dan,2025-04-06 17:56:59,127 btw,"[{'reaction': 'â\x9d¤', 'actor': 'Ruby Long'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]"
122,128,5497,Dan,2025-04-07 09:02:21,128,
123,129,5506,Dan,2025-04-07 11:14:18,129,
