,Poop,IDs,user,timestamp,content,reactions
0,2,266,Emma Sherlock,2025-01-02 16:20:44,2 ð,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1735836089}, {'reaction': 'ð\x9f\x91\x8f', 'actor': 'Dex', 'timestamp': 1735834859}]"
1,3,314,Emma Sherlock,2025-01-03 10:06:19,3,
2,4,510,Emma Sherlock,2025-01-04 20:51:49,4,
3,5,660,Emma Sherlock,2025-01-06 20:48:08,5,
4,15,1295,Emma Sherlock,2025-01-14 16:50:49,"15 
Iâm still here I promise","[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1736874955}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here', 'timestamp': 1736891478}, {'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736873594}]"
5,16,1338,Emma Sherlock,2025-01-15 19:37:15,16,
6,17,1406,Emma Sherlock,2025-01-17 08:18:49,17 ð,
7,18,1455,Emma Sherlock,2025-01-17 16:20:50,18,
8,19,1529,Emma Sherlock,2025-01-19 10:29:42,19,
9,20,1622,Emma Sherlock,2025-01-20 16:47:21,20,
10,21,1685,Emma Sherlock,2025-01-21 13:40:11,21,
11,22,1740,Emma Sherlock,2025-01-22 14:13:10,22,
12,23,1779,Emma Sherlock,2025-01-23 11:09:08,23,
13,24,1871,Emma Sherlock,2025-01-24 20:34:32,24,
14,25,1960,Emma Sherlock,2025-01-26 11:11:23,25,
15,26,2025,Emma Sherlock,2025-01-27 15:40:17,26,
16,27,2125,Emma Sherlock,2025-01-29 15:30:46,27,
17,28,2185,Emma Sherlock,2025-01-30 11:53:43,28,
18,29,2414,Emma Sherlock,2025-02-02 16:39:44,29,
19,30,2472,Emma Sherlock,2025-02-03 19:56:09,30,
20,31,2494,Emma Sherlock,2025-02-04 10:49:48,31,
21,32,2612,Emma Sherlock,2025-02-06 17:52:16,32,
22,33,2675,Emma Sherlock,2025-02-07 23:43:04,33,
23,34,2760,Emma Sherlock,2025-02-09 15:51:03,34,
24,35,2840,Emma Sherlock,2025-02-10 13:03:26,35,
25,36,2906,Emma Sherlock,2025-02-11 22:26:48,"36, night shift :(",
26,37,2936,Emma Sherlock,2025-02-12 18:54:13,37,
27,38,3027,Emma Sherlock,2025-02-14 20:45:12,38,
28,39,3067,Emma Sherlock,2025-02-15 21:51:44,39,
29,40,3089,Emma Sherlock,2025-02-16 19:05:18,40 ð,
30,41,3115,Emma Sherlock,2025-02-17 15:40:55,41,
31,42,3207,Emma Sherlock,2025-02-19 18:01:01,42,
32,43,3255,Emma Sherlock,2025-02-20 12:27:39,43,
33,44,3309,Emma Sherlock,2025-02-21 16:37:27,44,
34,45,3340,Emma Sherlock,2025-02-22 15:12:26,45,
35,46,3373,Emma Sherlock,2025-02-23 18:49:09,46 earlier,
36,47,3437,Emma Sherlock,2025-02-25 16:18:46,47,
37,48,3536,Emma Sherlock,2025-02-27 10:18:14,48,
38,49,3585,Emma Sherlock,2025-02-28 13:44:14,49,
39,50,3816,Emma Sherlock,2025-03-02 20:10:14,*50 whoops,"[{'reaction': 'â\x9d¤', 'actor': 'Dex'}]"
40,55,4006,Emma Sherlock,2025-03-06 23:07:07,"55, forgot to update ð«£",
41,56,4070,Emma Sherlock,2025-03-08 19:25:28,56,
42,57,4093,Emma Sherlock,2025-03-09 18:01:19,57,
43,58,4157,Emma Sherlock,2025-03-10 16:26:10,58 company time ð¥°,
44,59,4183,Emma Sherlock,2025-03-11 20:38:07,59,
45,60,4214,Emma Sherlock,2025-03-12 18:40:02,60 post gym,"[{'reaction': 'â\x9d¤', 'actor': 'Dex'}]"
46,61,4273,Emma Sherlock,2025-03-14 12:58:36,61 company time,
47,63,4372,Emma Sherlock,2025-03-16 10:28:01,"63, forgot to update 
All on company time ð",
48,66,4575,Emma Sherlock,2025-03-18 20:49:19,66 - whoopsies forgot to update,
49,67,4588,Emma Sherlock,2025-03-19 13:08:39,67,
50,68,4622,Emma Sherlock,2025-03-20 12:58:26,68,
51,70,4661,Emma Sherlock,2025-03-21 14:08:33,70 ð¥³,"[{'reaction': 'â\x9d¤', 'actor': 'shane'}]"
52,71,4727,Emma Sherlock,2025-03-22 08:28:53,71 company time,
53,72,4787,Emma Sherlock,2025-03-23 18:33:39,72 company time ðª,"[{'reaction': 'â\x9d¤', 'actor': 'shane'}]"
54,73,4830,Emma Sherlock,2025-03-25 00:43:34,73 earlier,
55,74,4847,Emma Sherlock,2025-03-25 14:11:10,74,
56,75,4895,Emma Sherlock,2025-03-26 15:21:39,75,
57,76,4942,Emma Sherlock,2025-03-27 17:12:02,76,
58,77,4969,Emma Sherlock,2025-03-28 10:42:53,77 company time,
59,78,5051,Emma Sherlock,2025-03-30 07:32:15,"78 company time 
Forgot to update yesterday :/",
60,79,5093,Emma Sherlock,2025-03-31 10:07:35,79 this morning,
61,80,5238,Emma Sherlock,2025-04-01 09:35:31,80,
62,81,5324,Emma Sherlock,2025-04-02 18:53:51,"81 and 82 
Italian shits","[{'reaction': 'â\x9d¤', 'actor': 'Ruby Long'}]"
63,82,5324,Emma Sherlock,2025-04-02 18:53:51,"81 and 82 
Italian shits","[{'reaction': 'â\x9d¤', 'actor': 'Ruby Long'}]"
64,84,5379,Emma Sherlock,2025-04-03 21:20:31,84 this am,
65,85,5399,Emma Sherlock,2025-04-04 18:59:41,85,
66,86,5451,Emma Sherlock,2025-04-05 18:22:41,86,
67,87,5470,Emma Sherlock,2025-04-06 13:03:22,87,
68,88,5502,Emma Sherlock,2025-04-07 09:24:55,88,
69,89,5533,Emma Sherlock,2025-04-08 09:50:18,89,
70,90,5561,Emma Sherlock,2025-04-09 08:58:54,90,
71,91,5603,Emma Sherlock,2025-04-10 10:49:12,91,
72,92,5645,Emma Sherlock,2025-04-11 10:44:56,92,
73,93,5683,Emma Sherlock,2025-04-12 09:28:19,93,
74,94,5766,Emma Sherlock,2025-04-14 04:13:03,"94 
Night shift",
75,95,5782,Emma Sherlock,2025-04-14 15:50:40,95,
76,96,5835,Emma Sherlock,2025-04-16 12:07:40,96 and 97,
77,97,5835,Emma Sherlock,2025-04-16 12:07:40,96 and 97,
78,98,5881,Emma Sherlock,2025-04-17 10:43:27,98,
79,99,5944,Emma Sherlock,2025-04-18 13:31:13,99 this morning,"[{'reaction': 'â\x9d¤', 'actor': 'shane'}]"
80,100,5961,Emma Sherlock,2025-04-19 09:31:11,100 ð,"[{'reaction': 'â\x9d¤', 'actor': 'Conan'}, {'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin'}, {'reaction': 'â\x9d¤', 'actor': ""Niamh O'Neill""}, {'reaction': 'â\x9d¤', 'actor': 'Dex'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]"
81,103,6077,Emma Sherlock,2025-04-21 14:11:18,"103 , forgot to update",
82,104,6116,Emma Sherlock,2025-04-22 16:01:05,104 this morning,
83,105,6147,Emma Sherlock,2025-04-23 10:17:43,105,
84,106,6185,Emma Sherlock,2025-04-24 15:45:30,106 this morning,
85,107,6213,Emma Sherlock,2025-04-25 10:28:04,107,
86,108,6329,Emma Sherlock,2025-04-27 07:56:42,"108 yesterday  & 109 today
Night shift poops","[{'reaction': 'â\x9d¤', 'actor': 'Dex'}]"
87,109,6329,Emma Sherlock,2025-04-27 07:56:42,"108 yesterday  & 109 today
Night shift poops","[{'reaction': 'â\x9d¤', 'actor': 'Dex'}]"
88,112,6456,Emma Sherlock,2025-04-30 16:16:23,"112 
Forgot to update whoopsie",
89,113,6612,Emma Sherlock,2025-05-01 15:34:09,113,
90,114,6626,Emma Sherlock,2025-05-02 07:24:50,114,
91,115,6656,Emma Sherlock,2025-05-02 18:39:13,115,
92,116,6676,Emma Sherlock,2025-05-03 18:42:20,116,
93,117,6696,Emma Sherlock,2025-05-04 12:18:22,117 this morning,
94,118,6780,Emma Sherlock,2025-05-06 18:00:01,118 yesterday & 119 this morning,
95,119,6780,Emma Sherlock,2025-05-06 18:00:01,118 yesterday & 119 this morning,
96,120,6835,Emma Sherlock,2025-05-08 10:49:18,120 yesterday 121 today,
