,Poop,IDs,user,timestamp,content,reactions
0,1,4,Harry,2025-01-01 12:20:42,Iâm on 1,
1,2,210,Harry,2025-01-02 13:05:17,2,
2,3,278,Harry,2025-01-02 18:31:24,3,
3,4,311,Harry,2025-01-03 09:55:10,4,
4,5,350,Harry,2025-01-03 13:09:23,5,
5,6,475,Harry,2025-01-04 11:44:37,6,
6,7,521,Harry,2025-01-05 12:59:54,7,
7,8,532,Harry,2025-01-05 15:26:24,8,
8,9,638,Harry,2025-01-06 13:30:46,9,
9,10,692,Harry,2025-01-07 12:54:04,10,
10,11,790,Harry,2025-01-08 14:29:24,11,
11,12,853,Harry,2025-01-09 13:45:00,12 earlier,
12,13,854,Harry,2025-01-09 13:45:04,13,
13,14,921,Harry,2025-01-10 11:11:25,14,
14,15,1070,Harry,2025-01-11 10:21:57,Oh boy I can feel number 15 coming,
15,16,1088,Harry,2025-01-11 15:14:22,16,
16,17,1121,Harry,2025-01-12 09:11:48,17,
17,18,1209,Harry,2025-01-13 09:11:43,18,
18,19,1271,Harry,2025-01-14 09:54:53,19,
19,20,1315,Harry,2025-01-14 23:57:14,20,
20,21,1319,Harry,2025-01-15 08:57:25,21 tho,
21,22,1357,Harry,2025-01-16 12:27:55,22,
22,23,1453,Harry,2025-01-17 15:26:18,23,
23,24,1500,Harry,2025-01-18 13:51:02,24,
24,25,1533,Harry,2025-01-19 11:14:01,25,
25,26,1575,Harry,2025-01-20 11:34:12,26,
26,27,1626,Harry,2025-01-20 19:15:37,27,
27,28,1695,Harry,2025-01-21 18:13:07,28,
28,29,1709,Harry,2025-01-22 09:03:57,29,
29,30,1786,Harry,2025-01-23 13:23:15,30,
30,31,1858,Harry,2025-01-24 14:43:37,31,
31,32,1869,Harry,2025-01-24 18:35:16,32,
32,33,1878,Harry,2025-01-25 08:20:57,33,
33,34,1884,Harry,2025-01-25 11:14:28,34,
34,35,1928,Harry,2025-01-25 16:51:32,35,
35,36,1954,Harry,2025-01-26 09:28:10,36,
36,37,1988,Harry,2025-01-26 18:47:32,37 earlier my phone died,
37,38,2010,Harry,2025-01-27 10:20:56,38,
38,39,2021,Harry,2025-01-27 12:38:21,39,"[{'reaction': 'ð\x9f¤±', 'actor': 'Stephen Allen', 'timestamp': 1737982170}]"
39,40,2068,Harry,2025-01-28 13:27:57,Call me shawty cuz I just had 40,"[{'reaction': 'â\x9d¤', 'actor': 'Stephen Allen', 'timestamp': 1738071356}, {'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1738071414}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1738073269}]"
40,41,2119,Harry,2025-01-29 11:03:48,41,
41,42,2186,Harry,2025-01-30 13:29:51,42,
42,43,2211,Harry,2025-01-31 09:44:47,43,
43,44,2222,Harry,2025-01-31 15:53:34,That would be my 44 for any of you Hickok45 fans out there,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1738339089}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1738338894}]"
44,45,2222,Harry,2025-01-31 15:53:34,That would be my 44 for any of you Hickok45 fans out there,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1738339089}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley', 'timestamp': 1738338894}]"
45,46,2417,Harry,2025-02-02 16:57:19,46,
46,47,2457,Harry,2025-02-03 14:10:17,47 in a ye olde pub in bunratty castle,
47,48,2474,Harry,2025-02-03 20:55:37,48,
48,49,2489,Harry,2025-02-04 09:47:53,San Francisco 49er,
49,50,2510,Harry,2025-02-04 15:27:39,Nifty 50,
50,51,2520,Harry,2025-02-05 07:36:05,51,
51,52,2555,Harry,2025-02-06 09:56:03,52,
52,53,2636,Harry,2025-02-07 11:27:45,53,
53,54,2658,Harry,2025-02-07 14:05:27,54,
54,55,2747,Harry,2025-02-09 13:01:25,55,
55,56,2766,Harry,2025-02-09 20:25:52,56,
56,57,2775,Harry,2025-02-09 23:39:46,57,
57,58,2778,Harry,2025-02-10 07:47:58,58,
58,59,2845,Harry,2025-02-10 13:56:50,59,
59,60,2862,Harry,2025-02-11 08:30:05,60,
60,61,2866,Harry,2025-02-11 12:51:14,61,
61,62,2915,Harry,2025-02-12 07:46:12,62,
62,63,2928,Harry,2025-02-12 14:01:29,63,
63,64,2943,Harry,2025-02-13 09:26:46,"I got a stack,64",
64,65,3000,Harry,2025-02-14 14:50:19,65 earlier this morning,
65,66,3001,Harry,2025-02-14 14:50:36,66 now last ten minutes ever in this fuck ass job and Iâm spending it well,"[{'reaction': 'â\x9d¤', 'actor': 'Stephen Allen'}, {'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}, {'reaction': 'ð\x9f\x91\x8f', 'actor': 'Dan Griffin'}]"
66,67,3045,Harry,2025-02-15 09:39:48,67,
67,68,3047,Harry,2025-02-15 11:27:44,68,
68,69,3109,Harry,2025-02-17 13:09:59,69 and 70 yesterday forgot to update,
69,70,3109,Harry,2025-02-17 13:09:59,69 and 70 yesterday forgot to update,
70,71,3110,Harry,2025-02-17 13:10:07,71 a few minutes ago,"[{'reaction': 'â\x9d¤', 'actor': 'Conan'}, {'reaction': 'â\x9d¤', 'actor': 'Dex'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]"
71,72,3111,Harry,2025-02-17 14:08:23,72,
72,73,3141,Harry,2025-02-18 12:42:47,73 and 74 this morning,
73,74,3141,Harry,2025-02-18 12:42:47,73 and 74 this morning,
74,75,3176,Harry,2025-02-19 13:10:26,75,
75,76,3226,Harry,2025-02-20 11:01:52,76,
76,77,3299,Harry,2025-02-21 13:01:16,"77 in a toilet in a Costa, I feel like Iâm gonna offend whoever uses it after me","[{'reaction': 'ð\x9f\x98¢', 'actor': 'Emma Smyth'}, {'reaction': 'â\x9d¤', 'actor': 'Dex'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]"
77,78,3331,Harry,2025-02-22 10:07:58,78,
78,79,3404,Harry,2025-02-24 19:20:29,"79,80",
79,80,3404,Harry,2025-02-24 19:20:29,"79,80",
80,81,3476,Harry,2025-02-26 12:12:05,81,
81,82,3548,Harry,2025-02-27 12:39:25,82,
82,83,3604,Harry,2025-02-28 20:41:02,83,
83,84,3804,Harry,2025-03-02 14:23:32,84 and 85 forgot to update,
84,85,3804,Harry,2025-03-02 14:23:32,84 and 85 forgot to update,
85,86,3835,Harry,2025-03-03 14:58:14,86,
86,87,3867,Harry,2025-03-04 13:48:01,87,
87,88,3932,Harry,2025-03-05 13:54:21,88,
88,89,3981,Harry,2025-03-06 15:59:51,89,
89,90,4016,Harry,2025-03-07 13:48:37,90,
90,91,4026,Harry,2025-03-07 17:24:25,91,
91,92,4050,Harry,2025-03-08 11:14:10,92,
92,93,4054,Harry,2025-03-08 12:51:11,93 Stephen can confirm,
93,94,4089,Harry,2025-03-09 16:04:58,94,
94,95,4122,Harry,2025-03-10 13:04:51,95 right now it feels so good,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Dex'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]"
95,96,4204,Harry,2025-03-12 16:15:36,96 and 97,
96,97,4204,Harry,2025-03-12 16:15:36,96 and 97,
97,98,4251,Harry,2025-03-13 14:03:10,98,
98,99,4304,Harry,2025-03-14 19:49:47,99 sopping wet,
99,100,4324,Harry,2025-03-15 12:33:30,100,"[{'reaction': 'â\x9d¤', 'actor': 'Dex'}, {'reaction': 'â\x9d¤', 'actor': 'shane'}]"
100,101,4337,Harry,2025-03-15 14:37:04,101,
101,102,4460,Harry,2025-03-17 15:33:40,102 and 103,
102,103,4460,Harry,2025-03-17 15:33:40,102 and 103,
103,104,4501,Harry,2025-03-18 11:11:50,104,
104,105,4630,Harry,2025-03-20 18:43:27,105,
105,106,4659,Harry,2025-03-21 12:14:48,106 and 107,
106,107,4659,Harry,2025-03-21 12:14:48,106 and 107,
107,108,4750,Harry,2025-03-22 19:43:09,108,
108,109,4786,Harry,2025-03-23 18:24:30,109,
109,110,4819,Harry,2025-03-24 16:32:18,110,
110,111,4845,Harry,2025-03-25 14:05:22,111,
111,112,4876,Harry,2025-03-26 12:51:19,112,
112,113,4894,Harry,2025-03-26 15:01:00,113,
113,114,4896,Harry,2025-03-26 15:41:43,114,
114,115,4953,Harry,2025-03-27 20:44:01,115,
115,116,5001,Harry,2025-03-28 16:16:18,116,
116,117,5039,Harry,2025-03-29 14:57:00,117,
117,118,5056,Harry,2025-03-30 12:52:44,118 airport poop,
118,119,5110,Harry,2025-03-31 14:04:50,119,
119,120,5260,Harry,2025-04-01 20:09:06,120,
120,121,5285,Harry,2025-04-02 11:45:02,121,
121,122,5354,Harry,2025-04-03 13:07:49,122,
122,123,5358,Harry,2025-04-03 14:11:23,123,
123,124,5389,Harry,2025-04-04 12:11:26,124,
124,125,5466,Harry,2025-04-06 11:53:03,"125, 126, 127",
