,Poop,IDs,user,timestamp,content,reactions
0,1,64,Ros,2025-01-01 14:28:52,1,
1,2,132,Ros,2025-01-01 19:28:19,2,
2,3,166,Ros,2025-01-02 10:56:36,3,
3,4,271,Ros,2025-01-02 17:37:19,4,
4,5,522,Ros,2025-01-05 13:12:47,5,
5,6,528,Ros,2025-01-05 14:23:07,6,
6,7,537,Ros,2025-01-05 18:48:31,7,
7,8,682,Ros,2025-01-07 11:23:29,8 yesterday,
8,9,794,Ros,2025-01-08 14:57:00,9,
9,10,875,Ros,2025-01-09 14:41:50,10,
10,11,942,Ros,2025-01-10 16:14:38,"1111     1111
   11         11
   11         11
   11         11
111111  111111","[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1736529702}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth', 'timestamp': 1736526664}, {'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1736526905}]"
11,12,1233,Ros,2025-01-13 14:04:19,12 yesterday,
12,13,1234,Ros,2025-01-13 14:04:21,13,
13,14,1243,Ros,2025-01-13 16:19:16,14,
14,15,1355,Ros,2025-01-16 12:05:09,15,
15,16,1535,Ros,2025-01-19 12:28:44,16 yesterday,
16,17,1536,Ros,2025-01-19 12:28:47,17,
17,18,1570,Ros,2025-01-20 11:12:06,18 this morning,
18,19,1571,Ros,2025-01-20 11:12:19,19 on the unpaid clock ð¥²,"[{'reaction': 'ð\x9f\x98¢', 'actor': 'Dex', 'timestamp': 1737371576}]"
19,20,1625,Ros,2025-01-20 19:05:16,20 earlier also,
20,22,1741,Ros,2025-01-22 15:30:15,22,"[{'reaction': 'â\x9d¤', 'actor': 'shane', 'timestamp': 1737559950}]"
21,23,1777,Ros,2025-01-23 11:03:45,23,
22,24,1837,Ros,2025-01-24 08:58:20,24,
23,25,1864,Ros,2025-01-24 16:34:59,25,
24,26,2015,Ros,2025-01-27 10:34:45,26 yesterday,
25,27,2016,Ros,2025-01-27 10:34:49,27,
26,28,2023,Ros,2025-01-27 15:31:35,28,
27,29,2042,Ros,2025-01-28 08:20:57,29,
28,30,2070,Ros,2025-01-28 15:48:25,30,
29,31,2153,Ros,2025-01-29 18:41:53,31 had to hold that one on the bus out of town,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1738179534}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth'}, {'reaction': 'â\x9d¤', 'actor': 'Dex'}]"
30,32,2191,Ros,2025-01-30 15:59:22,32,
31,33,2220,Ros,2025-01-31 15:50:10,33,
32,34,2446,Ros,2025-02-03 10:40:21,34 Saturday 35 yesterday,
