,Poop,IDs,user,timestamp,content,reactions
0,1,104,Suzanne,2025-01-01 16:33:18,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735749203}]"
1,2,174,Suzanne,2025-01-02 11:24:59,2,"[{'reaction': 'ð\x9f\x98®', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1735817127}]"
2,3,361,Suzanne,2025-01-03 16:28:14,3,
3,4,554,Suzanne,2025-01-05 23:18:14,4,
4,5,737,Suzanne,2025-01-07 17:55:22,5,
5,6,832,Suzanne,2025-01-09 00:14:13,6,
6,7,889,Suzanne,2025-01-09 18:25:51,7,
7,8,928,Suzanne,2025-01-10 12:13:44,8,
8,9,1060,Suzanne,2025-01-11 01:46:44,9,
9,10,1097,Suzanne,2025-01-11 20:30:16,10,
10,11,1146,Suzanne,2025-01-12 15:41:32,11,
11,12,1220,Suzanne,2025-01-13 11:58:25,12,
12,13,1279,Suzanne,2025-01-14 10:46:08,13,
13,14,1300,Suzanne,2025-01-14 18:07:37,14,
14,15,1359,Suzanne,2025-01-16 12:53:42,15,
15,16,1463,Suzanne,2025-01-17 23:27:55,16,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin', 'timestamp': 1737156494}]"
16,17,1545,Suzanne,2025-01-19 18:08:57,17,
17,18,1587,Suzanne,2025-01-20 12:24:48,18,
18,19,1624,Suzanne,2025-01-20 18:13:48,19,
19,20,1857,Suzanne,2025-01-24 12:30:59,20,
20,21,1933,Suzanne,2025-01-25 19:10:21,21,
21,22,2103,Suzanne,2025-01-28 18:39:25,22,
22,23,2113,Suzanne,2025-01-29 06:48:59,23,
23,24,2201,Suzanne,2025-01-30 19:16:55,24,
24,25,2213,Suzanne,2025-01-31 10:15:39,25,
25,26,2398,Suzanne,2025-02-02 09:46:47,26 London poop ð¬ð§,
26,27,2469,Suzanne,2025-02-03 19:16:14,27,
27,28,2625,Suzanne,2025-02-06 19:07:22,28,
28,29,2682,Suzanne,2025-02-08 10:13:15,29,
29,30,2765,Suzanne,2025-02-09 19:25:02,30,
30,31,2909,Suzanne,2025-02-12 01:42:25,31,
31,32,2973,Suzanne,2025-02-14 02:14:20,32,
32,33,3084,Suzanne,2025-02-16 15:13:59,33,
33,34,3146,Suzanne,2025-02-18 13:08:58,34,
34,35,3293,Suzanne,2025-02-21 09:37:13,35 earlier,
35,36,3363,Suzanne,2025-02-23 11:52:25,36 earlier,
36,37,3441,Suzanne,2025-02-25 22:24:32,37,
37,38,3503,Suzanne,2025-02-26 19:16:25,38,
38,39,3596,Suzanne,2025-02-28 18:44:15,39,
39,40,3792,Suzanne,2025-03-02 09:21:57,40,
40,41,3817,Suzanne,2025-03-02 22:18:00,41,
41,42,3880,Suzanne,2025-03-04 23:53:21,42,
42,43,3965,Suzanne,2025-03-06 07:03:25,43,
43,44,3999,Suzanne,2025-03-06 22:35:41,44,
44,45,4013,Suzanne,2025-03-07 13:34:27,45 earlier,
45,46,4080,Suzanne,2025-03-08 23:49:02,46,
46,47,4094,Suzanne,2025-03-09 18:30:24,47,
47,48,4124,Suzanne,2025-03-10 13:04:59,48,
48,49,4175,Suzanne,2025-03-11 18:36:29,49,
49,50,4220,Suzanne,2025-03-12 21:18:47,50,
50,51,4261,Suzanne,2025-03-13 17:43:03,51,
51,52,4271,Suzanne,2025-03-14 12:05:08,52,
52,53,4290,Suzanne,2025-03-14 19:09:24,53,
53,54,4333,Suzanne,2025-03-15 13:41:30,54,
54,55,4385,Suzanne,2025-03-16 12:41:04,55,
55,56,4442,Suzanne,2025-03-17 12:02:12,56,
56,57,4574,Suzanne,2025-03-18 20:49:11,57,
57,58,4611,Suzanne,2025-03-20 07:24:48,58,
58,59,4628,Suzanne,2025-03-20 18:00:04,59,
59,60,4660,Suzanne,2025-03-21 12:34:59,60,
60,61,4743,Suzanne,2025-03-22 15:36:28,61,
61,62,4752,Suzanne,2025-03-22 20:22:08,62,
62,63,4761,Suzanne,2025-03-23 11:20:10,63,
63,64,4804,Suzanne,2025-03-24 12:46:25,64,
